id,team_id,name_abbr,color_1,descript_col_1,color_2,descript_col_2,color_3,descript_col_3,color_4,descript_col_4,color_5,descript_col_5,first_year,final_year
1,1,ATL,#E13A3E,red,#C4D600,highlight,#061922,black,#003366,navy,#A9A9A9,grey,1999,
2,2,BKN,#061922,black,#C0C0C0,silver,#EEEEE0,cream,#B71234,red,#004770,navy,2012,
3,3,BOS,#008348,green,#C0C0C0,silver,#061922,black,#FFD700,gold,#A73832,red/brown,1999,
4,4,CHA,#1D1160,steel blue,#061922,teal,#4682B4,purple,#008CA8,black,#EEEEE0,cream,2014,
5,5,CHI,#CE1141,red,#061922,black,#696969,dark grey,#778899,slate grey,#EEEEE0,cream,1999,
6,6,CLE,#860038,wine,#FDBB30,gold,#002D62,navy,#EEEEE0,cream,#061922,black,1999,
7,7,DAL,#007DC5,light blue,#C4CED3,grey,#20385B,navy,#016F4A,green,#061922,black,1999,
8,8,DEN,#4D90CD,light blue,#FDB927,gold,#0F586C,green/blue,#004770,navy,#91022D,maroon,1999,
9,9,DET,#ED174C,red,#006BB6,blue,#001470,navy,#0F586C,green/blue,#B0B7BC,silver,1999,
10,10,GSW,#006BB6,blue,#FDB927,gold,#26282A,black,#EEEEE0,cream,#1B3F8B,navy,1999,
11,11,HOU,#CE1141,red,#FDB927,mustard,#061922,black,#C4CED3,grey,#004770,navy,1999,
12,12,IND,#00275D,navy,#FFC633,gold,#BEC0C2,grey,#004689,blue,#841F27,maroon,1999,
13,13,LAC,#ED174C,red,#006BB6,blue,#BEC0C2,grey,#00285D,navy,#061922,black,1999,
14,14,LAL,#552582,purple,#FDB927,gold,#061922,black,#8177B7,light purple,#AFB7BA,silver,1999,
15,15,MEM,#23375B,midnight blue,#6189B9,blue/grey,#BBD1E4,light blue/grey,#FFD432,gold,#8B8989,dark grey,1999,
16,16,MIA,#98002E,red,#F9A01B,gold,#061922,black,#BCBEC0,grey,#FF69B4,pink,1999,
17,17,MIL,#00471B,green,#F0EBD2,cream,#0077C0,royal blue,#061922,black,#4B0082,purple,1999,
18,18,MIN,#005083,blue,#00A94F,green,#C4CED3,grey,#061922,black,#E03A3F,red,1999,
19,19,NOP,#002B5C,navy,#E31837,red,#B4975A,tan/gold,#061922,black,#A9A9A9,grey,2013,
20,20,NYK,#006BB6,blue,#F58426,orange,#BEC0C2,grey,#231F20,black,#EEEEE0,cream,1999,
21,21,OKC,#007DC3,blue,#F05133,orange,#FDBB30,gold,#002D62,navy,#BBBDBF,grey,2008,
22,22,ORL,#007DC5,blue,#061922,black,#C4CED3,grey,#EEEEE0,cream,#002D62,navy,1999,
23,23,PHI,#006BB6,blue,#ED174C,red,#002B5C,navy,#C4CED3,grey,#565A5C,grey,1999,
24,24,PHX,#E56020,orange,#1D1160,purple,#63717A,grey,#061922,black,#F9A01B,gold,1999,
25,25,POR,#F0163A,red,#B6BFBF,grey,#061922,black,#838383,dark grey,#B3995D,gold,1999,
26,26,SAC,#724C9F,purple,#8E9090,grey,#061922,black,#85B7EA,light blue,#D0103A,red,1999,
27,27,SAS,#BAC3C9,silver,#061922,black,#00CDCD,teal,#F87531,orange,#FF69B4,pink,1999,
28,28,TOR,#CE1141,red,#061922,black,#A1A1A4,grey,#B4975A,gold,#6B238E,purple,1999,
29,29,UTA,#002B5C,navy,#00471B,green,#F9A01B,gold,#68228B,purple,#BEC0C2,grey,1999,
30,30,WAS,#002B5C,navy,#F5002F,red,#C2CCCC,grey,#061922,black,#B3995D,gold,1999,
31,31,CHA,#174A7C,dark blue,#F26532,orange,#EEEEE0,cream,#A9A9A9,grey,#007DC3,blue,1999,2014
32,32,NOH,#1D1160,steel blue,#061922,teal,#4682B4,purple,#008CA8,black,#EEEEE0,cream,1999,2013
33,33,NJN,#061922,black,#C0C0C0,silver,#EEEEE0,cream,#B71234,red,#004770,navy,1999,2012
34,34,SEA,#004C22,green,#FEBC1F,gold,#EEEEE0,cream,#A71B28,red,#A9A9A9,grey,1999,2008
