id,name,team_abbr,city,state,country,season,conference,division
ATL201718,Atlanta Hawks,ATL,Atlanta,Georgia,United States,201718,,
BKN201718,Brooklyn Nets,BKN,Brooklyn,New York,United States,201718,,
BOS201718,Boston Celtics,BOS,Boston ,Massachusetts,United States,201718,,
CHA201718,Charlotte Hornets,CHA,Charlotte,North Carolina,United States,201718,,
CHI201718,Chicago Bulls,CHI,Chicago,Illinois,United States,201718,,
CLE201718,Cleveland Cavaliers,CLE,Cleveland,Ohio,United States,201718,,
DAL201718,Dallas Mavericks,DAL,Dallas,Texas,United States,201718,,
DEN201718,Denver Nuggets,DEN,Denver,Colorado,United States,201718,,
DET201718,Detroit Pistons,DET,Detroit,Michigan,United States,201718,,
GSW201718,Golden State Warriors,GSW,Oakland,California,United States,201718,,
HOU201718,Houston Rockets,HOU,Houston,Texas,United States,201718,,
IND201718,Indiana Pacers,IND,Indianapolis,Indiana,United States,201718,,
LAC201718,Los Angeles Clippers,LAC,Los Angeles,California,United States,201718,,
LAL201718,Los Angeles Lakers,LAL,Los Angeles,California,United States,201718,,
MEM201718,Memphis Grizzlies,MEM,Memphis,Tennessee,United States,201718,,
MIA201718,Miami Heat,MIA,Miami,Florida,United States,201718,,
MIL201718,Milwaukee Bucks,MIL,Milwaukee,Wisconsin,United States,201718,,
MIN201718,Minnesota Timberwolves,MIN,Minneapolis,Minnesota,United States,201718,,
NOP201718,New Orleans Pelicans,NOP,New Orleans ,Louisiana,United States,201718,,
NYK201718,New York Knicks,NYK,New York City,New York,United States,201718,,
OKC201718,Oklahoma City Thunder,OKC,Oklahoma City,Oklahoma,United States,201718,,
ORL201718,Orlanda Magic,ORL,Orlando,Florida,United States,201718,,
PHI201718,Philadelphia 76ers,PHI,Philadelphia,Pennsylvania,United States,201718,,
PHX201718,Phoenix Suns,PHX,Phoenix,Arizona,United States,201718,,
POR201718,Portland Trailblazers,POR,Portland,Oregon,United States,201718,,
SAC201718,Sacramento Kings,SAC,Sacramento,California,United States,201718,,
SAS201718,San Antonio Spurs,SAS,San Antonio,Texas,United States,201718,,
TOR201718,Toronto Raptors,TOR,Toronto,Ontario,Canada,201718,,
UTA201718,Utah Jazz,UTA,Salt Lake City,Utah,United States,201718,,
WAS201718,Washington Wizards,WAS,Washington,District of Columbia,United States,201718,,
